author,year,TP,FN,FP,TN,Threshold,Country,IQCODE
Flicker,1997,188,28,35,48,3.6,Australia,26
Garcia,2002,83,7,4,19,3.6,Spain,16
Goncalves,2011,109,43,17,35,4.1,Australia,16
Hancock,2009,73,12,36,23,3.6,UK,16
Harwood,1997,43,0,29,105,3.3,UK,16
Jorm,1991,17,7,9,36,3.6,Australia,26
Knaefelc,2003,215,14,50,44,3.6,Australia,16
Mackinnon,1998,52,6,17,31,3.6,Switzerland,16
Mulligan,1996,33,0,25,18,3.3,Switzerland,26
Narasimhalu,2008,145,24,90,317,3.4,Singapore,16
Sikkes,2010,173,7,52,37,3.3,Netherlands,16
Siri,2006,94,6,12,88,3.3,Thailand,32
Tang,2003,21,3,41,124,3.4,Hong Kong ,26
